term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash,english_duration_ms,italian_duration_ms,pronunciation
curiosità,True,curiosità,curiosity,noun,curiosity,"mind,learning",,,feminine,singular,,,False,False,False,,,,,invariable plural,Provo curiosità.,I feel curiosity.,56aeb44b49293907263bd2c3d879b10b2012de138872251d05245349c70b2d9b,cd31963c6a68043d2cb0ffcf433c7f6c74ce527c5f77b2aeea15a7ba23019b1e,1536.0,1536.0,koo-ryoh-see-TAH
una curiosità,False,curiosità,curiosity,noun,a curiosity,"mind,learning",,,feminine,singular,,,False,False,False,indefinite,una,una,,,Ho una curiosità.,I have a curiosity.,ac8d2a7ded54823812d3e4d2cce6d33f7d2282ee77fd6805d1687c4c068d6dee,0313934951dccd8d93ec0cdf1450ae0912df2964e933297c48b76d30c47e9cc6,1584.0,1800.0,OO-nah koo-ryoh-see-TAH
la curiosità,False,curiosità,curiosity,noun,the curiosity,"mind,learning",,,feminine,singular,,,False,False,False,definite,la,la,,,La curiosità è importante.,Curiosity is important.,b560f2b0ebc1d0fef0773f25191615d02a75706430573e882bc53cef1b0ae4a5,83badedbe4c6ed54c471ca5b703960e136090db004d5fdf2b92909e1d34a0ef5,1608.0,1728.0,LAH koo-ryoh-see-TAH
curiosità,False,curiosità,curiosity,noun,curiosities,"mind,learning",,,feminine,plural,,,False,False,False,,,,,invariable plural,Ho letto curiosità interessanti.,I read interesting curiosities.,56aeb44b49293907263bd2c3d879b10b2012de138872251d05245349c70b2d9b,dfc9c5cb8249e39ea2c92adc3816f6775be5487ba00f796d875fcb6cc0ab7647,1656.0,1536.0,koo-ryoh-see-TAH
le curiosità,False,curiosità,curiosity,noun,the curiosities,"mind,learning",,,feminine,plural,,,False,False,False,definite,le,le,,,Le curiosità del museo piacciono ai bambini.,Children like the museum curiosities.,9187ca78451c604af6b8bf441fb2b89be61462dc8b3117220111b12fe81a73a1,e5454ade4058d2c010d9692c680194179a3d7ca539d994c545e9e8bd8c6a15df,1728.0,1728.0,LEH koo-ryoh-see-TAH
delle curiosità,False,curiosità,curiosity,noun,some curiosities,"mind,learning",,,feminine,plural,,,False,False,False,indefinite,le,delle,di,partitive plural form,Ho scoperto delle curiosità sul quartiere.,I discovered some curiosities about the neighborhood.,bdd324e5cedfcea30acb35250b3781921785fd4dabc5f256b0deeba0a6a450d0,036fe7bcf6aad3141866be613620175924e16a2155ec6bac931a8aa29040550d,1920.0,1920.0,DEH-lleh koo-ryoh-see-TAH
della curiosità,False,curiosità,curiosity,noun,of the curiosity,"mind,learning",,,feminine,singular,,,False,False,False,articulated_preposition,la,della,di,contraction of di + la,Parliamo della curiosità dei bambini.,We talk about the curiosity of children.,4c908090021a8cceec198d25af9f78d080ee82b6967ccad3491f4d8a4a39bab4,09610c55dd4cb48e51627d476917fee0ff2963c47464bce38ce01860cf3c3f3d,1728.0,1920.0,DEH-llah koo-ryoh-see-TAH
delle curiosità,False,curiosità,curiosity,noun,of the curiosities,"mind,learning",,,feminine,plural,,,False,False,False,articulated_preposition,le,delle,di,contraction of di + le,Le foto delle curiosità del museo sono online.,The photos of the museum curiosities are online.,bdd324e5cedfcea30acb35250b3781921785fd4dabc5f256b0deeba0a6a450d0,e2c12a69076f7314cc889c042aa8e1ebe8b037b24c2972faeb4c1ec7fae5b464,1848.0,1920.0,DEH-lleh koo-ryoh-see-TAH
alla curiosità,False,curiosità,curiosity,noun,to the curiosity,"mind,learning",,,feminine,singular,,,False,False,False,articulated_preposition,la,alla,a,contraction of a + la,Rispondo alla curiosità di mia figlia.,I respond to my daughter's curiosity.,16c34cb5ddb4ee4969fc04fda9c7d12f6bbfcca99b09ada13ab44012f62068c4,b7f6b9cebe63445aadf0d1ec28d859a45a2654188073b896d4e510ca6973f43a,1704.0,1848.0,AH-llah koo-ryoh-see-TAH
alle curiosità,False,curiosità,curiosity,noun,to the curiosities,"mind,learning",,,feminine,plural,,,False,False,False,articulated_preposition,le,alle,a,contraction of a + le,Il professore risponde alle curiosità degli studenti.,The professor answers the students' curiosities.,8c1a89927dc2bb8bd853110b7ac1898c4be06b5f2be317096423486751524fcf,15d2f19480f4e98e301cb906d62a7eb4173db34377d8ce4583d72fa42f57d75f,1848.0,1824.0,AH-lleh koo-ryoh-see-TAH
dalla curiosità,False,curiosità,curiosity,noun,from the curiosity,"mind,learning",,,feminine,singular,,,False,False,False,articulated_preposition,la,dalla,da,contraction of da + la,Sono spinto dalla curiosità.,I am driven by curiosity.,70f130d054f040a646b123944ad53da3cc9578a824885d42b1b0e2f03286575b,3f533c6548e884842d38814b3e35e87aa6e58795f576bba7f70fe2759efcfb06,1800.0,1920.0,DAH-llah koo-ryoh-see-TAH
dalle curiosità,False,curiosità,curiosity,noun,from the curiosities,"mind,learning",,,feminine,plural,,,False,False,False,articulated_preposition,le,dalle,da,contraction of da + le,Mi lascio guidare dalle curiosità locali.,I let myself be guided by the local curiosities.,46bdde3450349b3f17c59c312968a33c101e7e33e787d98c171e087e5aec7d0f,e7fe603ec3fd2df6abf10f664a773293c543761941740e1d797bffa97e983d69,1944.0,1920.0,DAH-lleh koo-ryoh-see-TAH
nella curiosità,False,curiosità,curiosity,noun,in the curiosity,"mind,learning",,,feminine,singular,,,False,False,False,articulated_preposition,la,nella,in,contraction of in + la,Mi perdo nella curiosità.,I get lost in curiosity.,ae39a34138ee38f0fa6c25e1b729af69e4288edc8d1e5597257beb01f40e5c57,a50f455b498184598f7d493d3775de42e7a53a750dc6cd068e071b4899956df5,1728.0,1920.0,NEH-llah koo-ryoh-see-TAH
nelle curiosità,False,curiosità,curiosity,noun,in the curiosities,"mind,learning",,,feminine,plural,,,False,False,False,articulated_preposition,le,nelle,in,contraction of in + le,Mi perdo nelle curiosità storiche.,I get lost in historical curiosities.,47b02c7051e6144f047f4968eb49f724f5e044b9f39c7168309e0ffbf70f6148,ff14ece0e3cc32b751a97cbd5dd8b99d7ab589125e1af39e9c08ee8e6851472f,1872.0,1944.0,NEH-lleh koo-ryoh-see-TAH
sulla curiosità,False,curiosità,curiosity,noun,about the curiosity,"mind,learning",,,feminine,singular,,,False,False,False,articulated_preposition,la,sulla,su,contraction of su + la,Sto leggendo un saggio sulla curiosità.,I am reading an essay about curiosity.,d6687f5dbf0b96d9b48f9c87c8599ea186331fa6f2396cb77de498107cd6d6d6,29b66a912289c90b71adc4c651f7b8f9386e3753e1f28fa5a55a893b63e2d74a,1920.0,1968.0,SOO-llah koo-ryoh-see-TAH
sulle curiosità,False,curiosità,curiosity,noun,about the curiosities,"mind,learning",,,feminine,plural,,,False,False,False,articulated_preposition,le,sulle,su,contraction of su + le,Ho visto un documentario sulle curiosità del mondo.,I saw a documentary about the world's curiosities.,4d131298e3009148b965fef4e3b76605ab72db21fb748371d23ace3e21b3d8e3,afe1099a813a33a482aa97b48b857f6ad79013882239991bde9bec0455983a74,2040.0,1992.0,SOO-lleh koo-ryoh-see-TAH
con la curiosità,False,curiosità,curiosity,noun,with the curiosity,"mind,learning",,,feminine,singular,,,False,False,False,articulated_preposition,la,con la,con,no contraction with con + la,Entro con la curiosità di un bambino.,I enter with the curiosity of a child.,cf89d67edc372217971ad92db1cdceaef83a4b22bedb35cb1acd9630fd19e9bf,8a2a8928c53c787ab4709991d972fe98198e6f11ac05910627d247a34af8682a,1800.0,1920.0,KOHN LAH koo-ryoh-see-TAH
con le curiosità,False,curiosità,curiosity,noun,with the curiosities,"mind,learning",,,feminine,plural,,,False,False,False,articulated_preposition,le,con le,con,no contraction with con + le,Il blog apre con le curiosità più lette.,The blog opens with the most-read curiosities.,f12139973a1cdd58e79ff78e83d7fb1fd6337bc0a76a908745d6df8797364d6e,7bfa0c9af3212cb1132deb6293fac1b4a47f42343183212a8b1ca657f30864bd,1944.0,1920.0,KOHN LEH koo-ryoh-see-TAH
