english,italian
where is the train station,dov'è la stazione ferroviaria
to the train station please,alla stazione ferroviaria per favore
to the airport please,all'aeroporto per favore
I want a taxi,vorrei un taxi
I would like,vorrei
I would like a ticket,vorrei un biglietto
a ticket to / a ticket for,un biglietto per
the train to Rome / the train for Rome,il treno per Roma
the train from Naples,il treno da Napoli
the train from Naples to Rome,il treno da Napoli a Roma
first,primo / prima
first class,prima classe
second class,seconda classe
a one way ticket,un biglietto di andata
round trip ticket,un biglietto di andata e ritorno
to smoke,fumare
no smoking,vietato fumare
non-smokers,non fumatori
at what time does the train leave,a che ora parte il treno
at what time does the train arrive,a che ora arriva il treno
where is the bus to Milan,dov'è l'autobus per Milano
which number,quale numero
which seat,quale posto
seat number five,posto numero cinque
a time table / a schedule,un orario
the first train,il primo treno
the second train,il secondo treno
the next train,il prossimo treno
the last train,l'ultimo treno