term_italian,is_base,base_word_italian,translation_english,topics,gender,plurality,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
caffè,true,caffè,coffee,"drinks,food",masculine,singular,none,n/a,n/a,n/a,base lemma,"Bevo caffè ogni mattina.","I drink coffee every morning."
un caffè,false,caffè,a coffee,"drinks,food",masculine,singular,indefinite,un,un,n/a,,"Vorrei un caffè, per favore.","I'd like a coffee, please."
il caffè,false,caffè,the coffee,"drinks,food",masculine,singular,definite,il,il,n/a,,"Il caffè è caldo.","The coffee is hot."
caffè,false,caffè,coffees,"drinks,food",masculine,plural,none,n/a,n/a,n/a,plural form,"I caffè italiani sono diversi.","Italian coffees are different."
i caffè,false,caffè,the coffees,"drinks,food",masculine,plural,definite,i,i,n/a,,"I caffè serviti qui sono buoni.","The coffees served here are good."
dei caffè,false,caffè,some coffees,"drinks,food",masculine,plural,articulated_preposition,dei,dei,di,,"Ho assaggiato dei caffè speciali.","I tasted some special coffees."
del caffè,false,caffè,of the coffee,"drinks,food",masculine,singular,articulated_preposition,del,del,di,,"Il profumo del caffè è intenso.","The smell of the coffee is strong."
al caffè,false,caffè,to the coffee/place called 'caffè',"drinks,food",masculine,singular,articulated_preposition,al,al,a,,"Andiamo al caffè sotto casa.","Let's go to the café downstairs."
ai caffè,false,caffè,to the coffees/at the cafés,"drinks,food",masculine,plural,articulated_preposition,ai,ai,a,,"Parlo spesso ai caffè del centro.","I often speak at the city cafés."
dal caffè,false,caffè,from the coffee/from the café,"drinks,food",masculine,singular,articulated_preposition,dal,dal,da,,"Vengo dal caffè adesso.","I come from the café now."
dai caffè,false,caffè,from the coffees/from the cafés,"drinks,food",masculine,plural,articulated_preposition,dai,dai,da,,"Sono appena tornato dai caffè.","I just returned from the cafés."
nel caffè,false,caffè,in the coffee/in the café,"drinks,food",masculine,singular,articulated_preposition,nel,nel,in,,"Ho messo lo zucchero nel caffè.","I put sugar in the coffee."
nei caffè,false,caffè,in the coffees/in the cafés,"drinks,food",masculine,plural,articulated_preposition,nei,nei,in,,"Ci incontriamo nei caffè della piazza.","We meet in the cafés in the square."
sul caffè,false,caffè,on the coffee/on the café,"drinks,food",masculine,singular,articulated_preposition,sul,sul,su,,"C'è della schiuma sul caffè.","There is foam on the coffee."
sui caffè,false,caffè,on the coffees/on the cafés,"drinks,food",masculine,plural,articulated_preposition,sui,sui,su,,"Ho letto articoli sui caffè italiani.","I read articles about Italian cafés."
col caffè,false,caffè,with the coffee,"drinks,food",masculine,singular,articulated_preposition,col,col,con,common contraction,"Esco col caffè in mano.","I go out with the coffee in my hand."
coi caffè,false,caffè,with the coffees/with the cafés,"drinks,food",masculine,plural,articulated_preposition,coi,coi,con,common contraction,"Parlo coi caffè frequentati dai turisti.","I talk with the cafés frequented by tourists."
acqua,true,acqua,water,"drinks,food",feminine,singular,none,n/a,n/a,n/a,base lemma,"Bevo acqua ogni ora.","I drink water every hour."
un'acqua,false,acqua,a (bottle of) water,"drinks,food",feminine,singular,indefinite,un',un',n/a,elision,used when specifying one bottle/type,"Vorrei un'acqua frizzante.","I'd like a sparkling water."
l'acqua,false,acqua,the water,"drinks,food",feminine,singular,definite,l',l',n/a,elision,"L'acqua è fredda.","The water is cold."
acque,false,acqua,waters (rare/plural),"drinks,food",feminine,plural,none,n/a,n/a,n/a,plural form (rare),"Le acque del lago sono limpide.","The lake waters are clear."
le acque,false,acqua,the waters,"drinks,food",feminine,plural,definite,le,le,n/a,,"Le acque termali sono calde.","The thermal waters are warm."
delle acque,false,acqua,some waters,"drinks,food",feminine,plural,articulated_preposition,delle,delle,di,,"Abbiamo raccolto delle acque per l'analisi.","We collected some waters for analysis."
dell'acqua,false,acqua,of the water,"drinks,food",feminine,singular,articulated_preposition,dell',dell',di,,"Il sapore dell'acqua è neutro.","The taste of the water is neutral."
all'acqua,false,acqua,to the water,"drinks,food",feminine,singular,articulated_preposition,all',all',a,,"Porta la bottiglia all'acquaio.","Put the bottle to the sink (to the water source)."
alle acque,false,acqua,to the waters,"drinks,food",feminine,plural,articulated_preposition,alle,alle,a,,"Andiamo alle acque termali.","Let's go to the thermal waters."
dall'acqua,false,acqua,from the water,"drinks,food",feminine,singular,articulated_preposition,dall',dall',da,,"La barca è uscita dall'acqua.","The boat came out of the water."
dalle acque,false,acqua,from the waters,"drinks,food",feminine,plural,articulated_preposition,dalle,dalle,da,,"Le informazioni vengono dalle acque sotterranee.","The information comes from underground waters."
nell'acqua,false,acqua,in the water,"drinks,food",feminine,singular,articulated_preposition,nell',nell',in,,"La bottiglia è caduta nell'acqua.","The bottle fell into the water."
nelle acque,false,acqua,in the waters,"drinks,food",feminine,plural,articulated_preposition,nelle,nelle,in,,"Si trovano pesci nelle acque limpide.","There are fish in the clear waters."
sull'acqua,false,acqua,on the water,"drinks,food",feminine,singular,articulated_preposition,sull',sull',su,,"La barca galleggia sull'acqua.","The boat floats on the water."
sulle acque,false,acqua,on the waters,"drinks,food",feminine,plural,articulated_preposition,sulle,sulle,su,,"Ci sono luci sulle acque del porto.","There are lights on the harbor waters."
con l'acqua,false,acqua,with the water,"drinks,food",feminine,singular,articulated_preposition,con l',con l',con,not contracted,used instead of 'col' for feminine vowels,"Mescola con l'acqua fino a ottenere una pasta.","Mix with water until you get a paste."
con le acque,false,acqua,with the waters,"drinks,food",feminine,plural,articulated_preposition,con le,con le,con,not contracted,,"Hanno studiato con le acque locali.","They studied with the local waters."
vino,true,vino,wine,"drinks,food",masculine,singular,none,n/a,n/a,n/a,base lemma,"Apro una bottiglia di vino.","I open a bottle of wine."
un vino,false,vino,a wine,"drinks,food",masculine,singular,indefinite,un,un,n/a,,"Questo è un vino molto buono.","This is a very good wine."
il vino,false,vino,the wine,"drinks,food",masculine,singular,definite,il,il,n/a,,"Il vino è dorato.","The wine is golden."
vini,false,vino,wines,"drinks,food",masculine,plural,none,n/a,n/a,n/a,plural form,"I vini italiani sono rinomati.","Italian wines are renowned."
i vini,false,vino,the wines,"drinks,food",masculine,plural,definite,i,i,n/a,,"I vini della regione sono ottimi.","The region's wines are excellent."
dei vini,false,vino,some wines,"drinks,food",masculine,plural,articulated_preposition,dei,dei,di,,"Abbiamo assaggiato dei vini locali.","We tasted some local wines."
del vino,false,vino,of the wine,"drinks,food",masculine,singular,articulated_preposition,del,del,di,,"Il colore del vino è intenso.","The color of the wine is intense."
al vino,false,vino,to the wine/for the wine,"drinks,food",masculine,singular,articulated_preposition,al,al,a,,"Questo bicchiere è al vino rosso.","This glass is for red wine."
ai vini,false,vino,to the wines,"drinks,food",masculine,plural,articulated_preposition,ai,ai,a,,"Parliamo ai vini della cantina.","We talk about the cellar's wines."
dal vino,false,vino,from the wine,"drinks,food",masculine,singular,articulated_preposition,dal,dal,da,,"Quel profumo viene dal vino.","That scent comes from the wine."
dai vini,false,vino,from the wines,"drinks,food",masculine,plural,articulated_preposition,dai,dai,da,,"I sentori dai vini erano vari.","The aromas from the wines were varied."
nel vino,false,vino,in the wine,"drinks,food",masculine,singular,articulated_preposition,nel,nel,in,,"C'è un aroma nel vino.","There is an aroma in the wine."
nei vini,false,vino,in the wines,"drinks,food",masculine,plural,articulated_preposition,nei,nei,in,,"Ho trovato tannini nei vini rossi.","I found tannins in the red wines."
sul vino,false,vino,on the wine,"drinks,food",masculine,singular,articulated_preposition,sul,sul,su,,"C'è una nota sul vino nella recensione.","There is a note on the wine in the review."
sui vini,false,vino,on the wines,"drinks,food",masculine,plural,articulated_preposition,sui,sui,su,,"Ho letto articoli sui vini biologici.","I read articles about organic wines."
col vino,false,vino,with the wine,"drinks,food",masculine,singular,articulated_preposition,col,col,con,common contraction,"Ceniamo col vino della casa.","We dine with the house wine."
coi vini,false,vino,with the wines,"drinks,food",masculine,plural,articulated_preposition,coi,coi,con,common contraction,"Abbino i formaggi coi vini locali.","I pair cheeses with the local wines."
pane,true,pane,bread,"food",masculine,singular,none,n/a,n/a,n/a,base lemma,"Compro pane fresco ogni giorno.","I buy fresh bread every day."
un pane,false,pane,a loaf of bread,"food",masculine,singular,indefinite,un,un,n/a,,"Prendi un pane per favore.","Take a loaf of bread please."
il pane,false,pane,the bread,"food",masculine,singular,definite,il,il,n/a,,"Il pane è dorato.","The bread is golden."
 pani,false,pane,breads,food,masculine,plural,none,n/a,n/a,n/a,plural form,"I pani sono in forno.","The breads are in the oven."
i pani,false,pane,the breads,"food",masculine,plural,definite,i,i,n/a,,"I pani artigianali sono costosi.","The artisanal breads are expensive."
dei pani,false,pane,some breads,"food",masculine,plural,articulated_preposition,dei,dei,di,,"Abbiamo comprato dei pani diversi.","We bought some different breads."
del pane,false,pane,of the bread,"food",masculine,singular,articulated_preposition,del,del,di,,"La crosta del pane è croccante.","The bread crust is crunchy."
al pane,false,pane,to the bread/for the bread,"food",masculine,singular,articulated_preposition,al,al,a,,"Aggiungi sale al pane.","Add salt to the bread."
ai pani,false,pane,to the breads,"food",masculine,plural,articulated_preposition,ai,ai,a,,"Diamo i dolci ai pani speciali.","We give the desserts to the special breads." 
dal pane,false,pane,from the bread,"food",masculine,singular,articulated_preposition,dal,dal,da,,"Togli la mollica dal pane.","Remove the crumb from the bread."
dai pani,false,pane,from the breads,"food",masculine,plural,articulated_preposition,dai,dai,da,,"Ho sentito odori dai pani appena sfornati.","I smelled aromas from the freshly baked breads."
nel pane,false,pane,in the bread,"food",masculine,singular,articulated_preposition,nel,nel,in,,"C'è burro nel pane.","There is butter in the bread."
nei pani,false,pane,in the breads,"food",masculine,plural,articulated_preposition,nei,nei,in,,"Ho trovato semi nei pani integrali.","I found seeds in the wholegrain breads."
sul pane,false,pane,on the bread,"food",masculine,singular,articulated_preposition,sul,sul,su,,"Metti la marmellata sul pane.","Put jam on the bread."
sui pani,false,pane,on the breads,"food",masculine,plural,articulated_preposition,sui,sui,su,,"Ci sono semi sui pani da cereali.","There are seeds on the cereal breads."
col pane,false,pane,with the bread,"food",masculine,singular,articulated_preposition,col,col,con,common contraction,"Mangio il formaggio col pane.","I eat cheese with the bread."
coi pani,false,pane,with the breads,"food",masculine,plural,articulated_preposition,coi,coi,con,common contraction,"Servono i piatti coi pani vari.","They serve dishes with various breads."
pizza,true,pizza,pizza,"food",feminine,singular,none,n/a,n/a,n/a,base lemma,"Ordino una pizza per cena.","I order a pizza for dinner."
una pizza,false,pizza,a pizza,"food",feminine,singular,indefinite,una,una,n/a,,"Prendo una pizza margherita.","I'll take a margherita pizza."
la pizza,false,pizza,the pizza,"food",feminine,singular,definite,la,la,n/a,,"La pizza è calda.","The pizza is hot."
pizze,false,pizza,pizzas,"food",feminine,plural,none,n/a,n/a,n/a,plural form,"Le pizze sono sul tavolo.","The pizzas are on the table."
le pizze,false,pizza,the pizzas,"food",feminine,plural,definite,le,le,n/a,,"Le pizze sono pronte.","The pizzas are ready."
delle pizze,false,pizza,some pizzas,"food",feminine,plural,articulated_preposition,delle,delle,di,,"Abbiamo ordinate delle pizze diverse.","We ordered some different pizzas."
della pizza,false,pizza,of the pizza,"food",feminine,singular,articulated_preposition,della,della,di,,"Il bordo della pizza è croccante.","The crust of the pizza is crispy."
alla pizza,false,pizza,to the pizza/at the pizza place,"food",feminine,singular,articulated_preposition,alla,alla,a,,"Andiamo alla pizza d'asporto.","Let's go to the pizza takeaway."
alle pizze,false,pizza,to the pizzas,"food",feminine,plural,articulated_preposition,alle,alle,a,,"Serviamo condimenti alle pizze.","We serve toppings to the pizzas."
dalla pizza,false,pizza,from the pizza,"food",feminine,singular,articulated_preposition,dalla,dalla,da,,"Ho preso una fetta dalla pizza.","I took a slice from the pizza."
dalle pizze,false,pizza,from the pizzas,"food",feminine,plural,articulated_preposition,dalle,dalle,da,,"Ho assaggiato dalle pizze sul bancone.","I tasted from the pizzas on the counter."
nella pizza,false,pizza,in the pizza,"food",feminine,singular,articulated_preposition,nella,nella,in,,"C'è mozzarella nella pizza.","There is mozzarella in the pizza."
nelle pizze,false,pizza,in the pizzas,"food",feminine,plural,articulated_preposition,nelle,nelle,in,,"Troviamo ingredienti nelle pizze speciali.","We find ingredients in the special pizzas."
sulla pizza,false,pizza,on the pizza,"food",feminine,singular,articulated_preposition,sulla,sulla,su,,"Metti basilico sulla pizza.","Put basil on the pizza."
sulle pizze,false,pizza,on the pizzas,"food",feminine,plural,articulated_preposition,sulle,sulle,su,,"Ci sono olive sulle pizze.","There are olives on the pizzas."
con la pizza,false,pizza,with the pizza,"food",feminine,singular,articulated_preposition,con la,con la,con,not contracted,,"Mangio insalata con la pizza.","I eat salad with the pizza."
con le pizze,false,pizza,with the pizzas,"food",feminine,plural,articulated_preposition,con le,con le,con,not contracted,,"Servono vino con le pizze.","They serve wine with the pizzas."
pasta,true,pasta,pasta/noodles,"food",feminine,singular,none,n/a,n/a,n/a,base lemma,"Preparo la pasta per pranzo.","I make pasta for lunch."
una pasta,false,pasta,a pasta/dish of pasta,"food",feminine,singular,indefinite,una,una,n/a,,"Ordino una pasta al pomodoro.","I order a pasta with tomato sauce."
la pasta,false,pasta,the pasta,"food",feminine,singular,definite,la,la,n/a,,"La pasta è al dente.","The pasta is al dente."
paste,false,pasta,pastas/types of pasta,"food",feminine,plural,none,n/a,n/a,n/a,plural form (types or pastries depending on context),"Le paste tipiche sono diverse.","The typical pastas are different."
le paste,false,pasta,the pastas,"food",feminine,plural,definite,le,le,n/a,,"Le paste artigianali sono buone.","The artisanal pastas are good."
delle paste,false,pasta,some pastas,"food",feminine,plural,articulated_preposition,delle,delle,di,,"Ho assaggiato delle paste regionali.","I tasted some regional pastas."
della pasta,false,pasta,of the pasta,"food",feminine,singular,articulated_preposition,della,della,di,,"Il sapore della pasta è delicato.","The taste of the pasta is delicate."
alla pasta,false,pasta,to the pasta/for the pasta,"food",feminine,singular,articulated_preposition,alla,alla,a,,"Aggiungi salsa alla pasta.","Add sauce to the pasta."
alle paste,false,pasta,to the pastas,"food",feminine,plural,articulated_preposition,alle,alle,a,,"Ho parlato alle paste della ricetta.","I talked to the pastas about the recipe (figurative)."
dalla pasta,false,pasta,from the pasta,"food",feminine,singular,articulated_preposition,dalla,dalla,da,,"Ho tolto la salsa dalla pasta.","I removed the sauce from the pasta."
dalle paste,false,pasta,from the pastas,"food",feminine,plural,articulated_preposition,dalle,dalle,da,,"Ho tratto ispirazione dalle paste regionali.","I drew inspiration from regional pastas."
nella pasta,false,pasta,in the pasta,"food",feminine,singular,articulated_preposition,nella,nella,in,,"C'è pepe nella pasta.","There is pepper in the pasta."
nelle paste,false,pasta,in the pastas,"food",feminine,plural,articulated_preposition,nelle,nelle,in,,"Si trovano sapori nelle paste fatte in casa.","There are flavors in homemade pastas.")
sulla pasta,false,pasta,on the pasta,"food",feminine,singular,articulated_preposition,sulla,sulla,su,,"Metti il formaggio sulla pasta.","Put cheese on the pasta."
sulle paste,false,pasta,on the pastas,"food",feminine,plural,articulated_preposition,sulle,sulle,su,,"Ci sono erbe sulle paste.","There are herbs on the pastas."
con la pasta,false,pasta,with the pasta,"food",feminine,singular,articulated_preposition,con la,con la,con,not contracted,,"Serviamo salsa con la pasta.","We serve sauce with the pasta."
con le paste,false,pasta,with the pastas,"food",feminine,plural,articulated_preposition,con le,con le,con,not contracted,,"Abbiniamo vini con le paste.","We pair wines with the pastas."
ristorante,true,ristorante,restaurant,"places,food",masculine,singular,none,n/a,n/a,n/a,base lemma,"Prenoto un tavolo al ristorante.","I book a table at the restaurant."
un ristorante,false,ristorante,a restaurant,"places,food",masculine,singular,indefinite,un,un,n/a,,"Conosco un ristorante buonissimo.","I know a very good restaurant."
il ristorante,false,ristorante,the restaurant,"places,food",masculine,singular,definite,il,il,n/a,,"Il ristorante apre alle sette.","The restaurant opens at seven."
ristoranti,false,ristorante,restaurants,"places,food",masculine,plural,none,n/a,n/a,n/a,plural form,"I ristoranti della zona sono aperti.","The restaurants in the area are open."
i ristoranti,false,ristorante,the restaurants,"places,food",masculine,plural,definite,i,i,n/a,,"I ristoranti hanno menu diversi.","The restaurants have different menus."
dei ristoranti,false,ristorante,some restaurants,"places,food",masculine,plural,articulated_preposition,dei,dei,di,,"Ho visitato dei ristoranti nuovi.","I visited some new restaurants."
del ristorante,false,ristorante,of the restaurant,"places,food",masculine,singular,articulated_preposition,del,del,di,,"Il menu del ristorante è vario.","The restaurant's menu is varied."
al ristorante,false,ristorante,to the restaurant,"places,food",masculine,singular,articulated_preposition,al,al,a,,"Andiamo al ristorante stasera.","Let's go to the restaurant tonight."
ai ristoranti,false,ristorante,to the restaurants,"places,food",masculine,plural,articulated_preposition,ai,ai,a,,"Ho dato consigli ai ristoranti locali.","I gave advice to the local restaurants."
dal ristorante,false,ristorante,from the restaurant,"places,food",masculine,singular,articulated_preposition,dal,dal,da,,"Sono tornato dal ristorante.","I returned from the restaurant."
dai ristoranti,false,ristorante,from the restaurants,"places,food",masculine,plural,articulated_preposition,dai,dai,da,,"Ho ricevuto ordini dai ristoranti vicini.","I received orders from nearby restaurants."
nel ristorante,false,ristorante,in the restaurant,"places,food",masculine,singular,articulated_preposition,nel,nel,in,,"Ceniamo nel ristorante elegante.","We dine in the elegant restaurant."
nei ristoranti,false,ristorante,in the restaurants,"places,food",masculine,plural,articulated_preposition,nei,nei,in,,"Ho lavorato nei ristoranti della città.","I worked in the city's restaurants."
sul ristorante,false,ristorante,on the restaurant,"places,food",masculine,singular,articulated_preposition,sul,sul,su,,"C'è una recensione sul ristorante.","There is a review about the restaurant."
sui ristoranti,false,ristorante,on the restaurants,"places,food",masculine,plural,articulated_preposition,sui,sui,su,,"Ho letto articoli sui ristoranti emergenti.","I read articles about emerging restaurants."
col ristorante,false,ristorante,with the restaurant (figurative),"places,food",masculine,singular,articulated_preposition,col,col,con,common contraction,"Collaboriamo col ristorante per l'evento.","We collaborate with the restaurant for the event."
coi ristoranti,false,ristorante,with the restaurants,"places,food",masculine,plural,articulated_preposition,coi,coi,con,common contraction,"Ho parlato coi ristoranti per le forniture.","I spoke with the restaurants about supplies."
bar,true,bar,bar/café,"places,food",masculine,singular,none,n/a,n/a,n/a,base lemma,"Il bar apre presto.","The bar opens early."
un bar,false,bar,a bar,"places,food",masculine,singular,indefinite,un,un,n/a,,"C'è un bar vicino alla stazione.","There's a bar near the station."
il bar,false,bar,the bar,"places,food",masculine,singular,definite,il,il,n/a,,"Il bar è affollato.","The bar is crowded."
bar (pl),false,bar,bars (invariable plural common), "places,food",masculine,plural,none,n/a,n/a,n/a,invariable plural common,"I bar del centro sono aperti.","The bars in the center are open."
i bar,false,bar,the bars,"places,food",masculine,plural,definite,i,i,n/a,,"I bar offrono colazioni velocemente.","The bars offer quick breakfasts."
dei bar,false,bar,some bars,"places,food",masculine,plural,articulated_preposition,dei,dei,di,,"Ho visitato dei bar locali.","I visited some local bars."
del bar,false,bar,of the bar,"places,food",masculine,singular,articulated_preposition,del,del,di,,"Il menu del bar è semplice.","The bar's menu is simple."
al bar,false,bar,to the bar,"places,food",masculine,singular,articulated_preposition,al,al,a,,"Ci vediamo al bar alle nove.","See you at the bar at nine."
ai bar,false,bar,to the bars,"places,food",masculine,plural,articulated_preposition,ai,ai,a,,"Vado ai bar per comprare un caffè.","I go to the bars to buy a coffee."
dal bar,false,bar,from the bar,"places,food",masculine,singular,articulated_preposition,dal,dal,da,,"Torno dal bar con il cornetto.","I return from the bar with the croissant."
dai bar,false,bar,from the bars,"places,food",masculine,plural,articulated_preposition,dai,dai,da,,"Ho preso idee dai bar della città.","I took ideas from the city's bars."
nel bar,false,bar,in the bar,"places,food",masculine,singular,articulated_preposition,nel,nel,in,,"Ci sediamo nel bar tranquillo.","We sit in the quiet bar."
nei bar,false,bar,in the bars,"places,food",masculine,plural,articulated_preposition,nei,nei,in,,"Ho incontrato amici nei bar.","I met friends in the bars."
sul bar,false,bar,on the bar,"places,food",masculine,singular,articulated_preposition,sul,sul,su,,"C'è un manifesto sul bar.","There is a poster on the bar."
sui bar,false,bar,on the bars,"places,food",masculine,plural,articulated_preposition,sui,sui,su,,"Ho letto commenti sui bar del quartiere.","I read comments about the neighborhood bars."
col bar,false,bar,with the bar (figurative),"places,food",masculine,singular,articulated_preposition,col,col,con,common contraction,"Collaboriamo col bar per l'evento.","We collaborate with the bar for the event."
coi bar,false,bar,with the bars,"places,food",masculine,plural,articulated_preposition,coi,coi,con,common contraction,"Distribuiamo volantini coi bar locali.","We distribute flyers with the local bars."
tavolo,true,tavolo,table,"furniture,home",masculine,singular,none,n/a,n/a,n/a,base lemma,"Pulisco il tavolo dopo cena.","I clean the table after dinner."
un tavolo,false,tavolo,a table,"furniture,home",masculine,singular,indefinite,un,un,n/a,,"Ho comprato un tavolo nuovo.","I bought a new table."
il tavolo,false,tavolo,the table,"furniture,home",masculine,singular,definite,il,il,n/a,,"Il tavolo è di legno.","The table is made of wood."
tavoli,false,tavolo,tables,"furniture,home",masculine,plural,none,n/a,n/a,n/a,plural form,"I tavoli sono occupati.","The tables are occupied."
i tavoli,false,tavolo,the tables,"furniture,home",masculine,plural,definite,i,i,n/a,,"I tavoli sono rotondi.","The tables are round."
dei tavoli,false,tavolo,some tables,"furniture,home",masculine,plural,articulated_preposition,dei,dei,di,,"Ci servono dei tavoli più grandi.","They serve us some bigger tables."
del tavolo,false,tavolo,of the table,"furniture,home",masculine,singular,articulated_preposition,del,del,di,,"La superficie del tavolo è liscia.","The table's surface is smooth."
al tavolo,false,tavolo,to the table/at the table,"furniture,home",masculine,singular,articulated_preposition,al,al,a,,"Siediti al tavolo.","Sit at the table."
ai tavoli,false,tavolo,to the tables,"furniture,home",masculine,plural,articulated_preposition,ai,ai,a,,"Porta piatti ai tavoli.","Bring plates to the tables."
dal tavolo,false,tavolo,from the table,"furniture,home",masculine,singular,articulated_preposition,dal,dal,da,,"Togli le briciole dal tavolo.","Remove the crumbs from the table."
dai tavoli,false,tavolo,from the tables,"furniture,home",masculine,plural,articulated_preposition,dai,dai,da,,"Ho raccolto i piatti dai tavoli.","I collected the plates from the tables."
nel tavolo,false,tavolo,in the table,"furniture,home",masculine,singular,articulated_preposition,nel,nel,in,,"C'è un cassetto nel tavolo.","There is a drawer in the table."
nei tavoli,false,tavolo,in the tables,"furniture,home",masculine,plural,articulated_preposition,nei,nei,in,,"Trovi spilli nei tavoli da lavoro.","You find pins in the work tables."
sul tavolo,false,tavolo,on the table,"furniture,home",masculine,singular,articulated_preposition,sul,sul,su,,"Metti il libro sul tavolo.","Put the book on the table."
sui tavoli,false,tavolo,on the tables,"furniture,home",masculine,plural,articulated_preposition,sui,sui,su,,"Ci sono tovaglie sui tavoli.","There are tablecloths on the tables."
col tavolo,false,tavolo,with the table (figurative),"furniture,home",masculine,singular,articulated_preposition,col,col,con,common contraction,"Fissiamo il paralume col tavolo coordinato.","We match the lampshade with the coordinated table."
coi tavoli,false,tavolo,with the tables,"furniture,home",masculine,plural,articulated_preposition,coi,coi,con,common contraction,"Spostiamo le sedie coi tavoli.","We move the chairs with the tables."
sedia,true,sedia,chair,"furniture,home",feminine,singular,none,n/a,n/a,n/a,base lemma,"La sedia è comoda.","The chair is comfortable."
una sedia,false,sedia,a chair,"furniture,home",feminine,singular,indefinite,una,una,n/a,,"Ho comprato una sedia nuova.","I bought a new chair."
la sedia,false,sedia,the chair,"furniture,home",feminine,singular,definite,la,la,n/a,,"La sedia è vicino al tavolo.","The chair is near the table."
sedie,false,sedia,chairs,"furniture,home",feminine,plural,none,n/a,n/a,n/a,plural form,"Le sedie sono in cucina.","The chairs are in the kitchen."
le sedie,false,sedia,the chairs,"furniture,home",feminine,plural,definite,le,le,n/a,,"Le sedie sono comode.","The chairs are comfortable."
delle sedie,false,sedia,some chairs,"furniture,home",feminine,plural,articulated_preposition,delle,delle,di,,"Abbiamo ordinate delle sedie extra.","We ordered some extra chairs."
della sedia,false,sedia,of the chair,"furniture,home",feminine,singular,articulated_preposition,della,della,di,,"La stoffa della sedia è rossa.","The chair's fabric is red."
alla sedia,false,sedia,to the chair,"furniture,home",feminine,singular,articulated_preposition,alla,alla,a,,"Appoggia la borsa alla sedia.","Put the bag on the chair.")
alle sedie,false,sedia,to the chairs,"furniture,home",feminine,plural,articulated_preposition,alle,alle,a,,"Sistemiamo i cuscini alle sedie.","We place cushions on the chairs."
dalla sedia,false,sedia,from the chair,"furniture,home",feminine,singular,articulated_preposition,dalla,dalla,da,,"Scendi dalla sedia.","Get down from the chair."
dalle sedie,false,sedia,from the chairs,"furniture,home",feminine,plural,articulated_preposition,dalle,dalle,da,,"Ho tolto i cuscini dalle sedie.","I removed the cushions from the chairs."
nella sedia,false,sedia,in the chair,"furniture,home",feminine,singular,articulated_preposition,nella,nella,in,,"C'è una macchia nella sedia.","There is a stain in the chair."
nelle sedie,false,sedia,in the chairs,"furniture,home",feminine,plural,articulated_preposition,nelle,nelle,in,,"Trovo polvere nelle sedie riposte.","I find dust in the stored chairs."
sulla sedia,false,sedia,on the chair,"furniture,home",feminine,singular,articulated_preposition,sulla,sulla,su,,"Metti la giacca sulla sedia.","Put the jacket on the chair."
sulle sedie,false,sedia,on the chairs,"furniture,home",feminine,plural,articulated_preposition,sulle,sulle,su,,"Ci sono libri sulle sedie.","There are books on the chairs."
con la sedia,false,sedia,with the chair,"furniture,home",feminine,singular,articulated_preposition,con la,con la,con,not contracted,,"Sposto il tavolo con la sedia accanto.","I move the table with the chair next to it."
con le sedie,false,sedia,with the chairs,"furniture,home",feminine,plural,articulated_preposition,con le,con le,con,not contracted,,"Sistemo la stanza con le sedie nuove.","I set up the room with the new chairs."
bagno,true,bagno,bathroom,"places,home",masculine,singular,none,n/a,n/a,n/a,base lemma,"Devo andare in bagno.","I need to go to the bathroom."
un bagno,false,bagno,a bathroom/bath,"places,home",masculine,singular,indefinite,un,un,n/a,,"L'appartamento ha un bagno grande.","The apartment has a large bathroom."
il bagno,false,bagno,the bathroom,"places,home",masculine,singular,definite,il,il,n/a,,"Il bagno è pulito.","The bathroom is clean."
bagni,false,bagno,bathrooms,"places,home",masculine,plural,none,n/a,n/a,n/a,plural form,"I bagni sono occupati.","The bathrooms are occupied."
i bagni,false,bagno,the bathrooms,"places,home",masculine,plural,definite,i,i,n/a,,"I bagni sono al piano superiore.","The bathrooms are upstairs."
