term_italian,is_base,base_word_italian,translation_english,topics,gender,plurality,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
dei bagni,false,bagno,some bathrooms,"places,home",masculine,plural,articulated_preposition,dei,dei,di,,"Ho ispezionato dei bagni pubblici.","I inspected some public bathrooms."
del bagno,false,bagno,of the bathroom,"places,home",masculine,singular,articulated_preposition,del,del,di,,"La porta del bagno è rotta.","The bathroom door is broken."
al bagno,false,bagno,to the bathroom,"places,home",masculine,singular,articulated_preposition,al,al,a,,"Vado al bagno subito.","I go to the bathroom immediately."
ai bagni,false,bagno,to the bathrooms,"places,home",masculine,plural,articulated_preposition,ai,ai,a,,"Segnalo i problemi ai bagni.","I report problems to the bathrooms (management)."
dal bagno,false,bagno,from the bathroom,"places,home",masculine,singular,articulated_preposition,dal,dal,da,,"Esco dal bagno ora.","I leave the bathroom now."
dai bagni,false,bagno,from the bathrooms,"places,home",masculine,plural,articulated_preposition,dai,dai,da,,"Le pulizie dai bagni sono terminate.","The cleaning of the bathrooms is finished.")
nel bagno,false,bagno,in the bathroom,"places,home",masculine,singular,articulated_preposition,nel,nel,in,,"C'è un tappeto nel bagno.","There is a rug in the bathroom."
nei bagni,false,bagno,in the bathrooms,"places,home",masculine,plural,articulated_preposition,nei,nei,in,,"Ci sono asciugamani nei bagni.","There are towels in the bathrooms."
sul bagno,false,bagno,on the bathroom,"places,home",masculine,singular,articulated_preposition,sul,sul,su,,"C'è un adesivo sul bagno (porta).","There is a sticker on the bathroom (door)."
sui bagni,false,bagno,on the bathrooms,"places,home",masculine,plural,articulated_preposition,sui,sui,su,,"Ho visto messaggi sui bagni pubblici.","I saw messages on public bathrooms.")
col bagno,false,bagno,with the bathroom (figurative),"places,home",masculine,singular,articulated_preposition,col,col,con,common contraction,"Lavoriamo col bagno nuovo per rinnovarlo.","We work with the new bathroom to renovate it."
coi bagni,false,bagno,with the bathrooms,"places,home",masculine,plural,articulated_preposition,coi,coi,con,common contraction,"Coordinano i lavori coi bagni dell'edificio.","They coordinate the works with the building's bathrooms."
camera,true,camera,room,"places,home",feminine,singular,none,n/a,n/a,n/a,base lemma,"La camera è luminosa.","The room is bright."
una camera,false,camera,a room,"places,home",feminine,singular,indefinite,una,una,n/a,,"Abbiamo prenotato una camera.","We booked a room."
la camera,false,camera,the room,"places,home",feminine,singular,definite,la,la,n/a,,"La camera ha un balcone.","The room has a balcony."
camere,false,camera,rooms,"places,home",feminine,plural,none,n/a,n/a,n/a,plural form,"Le camere sono spaziose.","The rooms are spacious."
le camere,false,camera,the rooms,"places,home",feminine,plural,definite,le,le,n/a,,"Le camere dell'hotel sono pulite.","The hotel's rooms are clean."
delle camere,false,camera,some rooms,"places,home",feminine,plural,articulated_preposition,delle,delle,di,,"Abbiamo visitato delle camere disponibili.","We visited some available rooms."
della camera,false,camera,of the room,"places,home",feminine,singular,articulated_preposition,della,della,di,,"La vista della camera è bella.","The room's view is beautiful."
alla camera,false,camera,to the room,"places,home",feminine,singular,articulated_preposition,alla,alla,a,,"Porta la borsa alla camera.","Take the bag to the room.")
alle camere,false,camera,to the rooms,"places,home",feminine,plural,articulated_preposition,alle,alle,a,,"Distribuiamo gli asciugamani alle camere.","We distribute towels to the rooms.")
dalla camera,false,camera,from the room,"places,home",feminine,singular,articulated_preposition,dalla,dalla,da,,"Vengo dalla camera da letto.","I come from the bedroom.")
dalle camere,false,camera,from the rooms,"places,home",feminine,plural,articulated_preposition,dalle,dalle,da,,"Ho preso vestiti dalle camere.","I took clothes from the rooms.")
nella camera,false,camera,in the room,"places,home",feminine,singular,articulated_preposition,nella,nella,in,,"C'è polvere nella camera.","There is dust in the room.")
nelle camere,false,camera,in the rooms,"places,home",feminine,plural,articulated_preposition,nelle,nelle,in,,"Ho lasciato oggetti nelle camere.","I left items in the rooms.")
sulla camera,false,camera,on the room (figurative),"places,home",feminine,singular,articulated_preposition,sulla,sulla,su,,"C'è un cartello sulla camera.","There is a sign on the room.")
sulle camere,false,camera,on the rooms,"places,home",feminine,plural,articulated_preposition,sulle,sulle,su,,"Ho trovato recensioni sulle camere.","I found reviews about the rooms.")
con la camera,false,camera,with the room,"places,home",feminine,singular,articulated_preposition,con la,con la,con,not contracted,,"Arredo con la camera attuale.","I furnish with the current room.")
con le camere,false,camera,with the rooms,"places,home",feminine,plural,articulated_preposition,con le,con le,con,not contracted,,"Coordiniamo con le camere adiacenti.","We coordinate with the adjacent rooms.")
biglietto,true,biglietto,ticket,"travel,events",masculine,singular,none,n/a,n/a,n/a,base lemma,"Ho comprato un biglietto.","I bought a ticket."
un biglietto,false,biglietto,a ticket,"travel,events",masculine,singular,indefinite,un,un,n/a,,"Devo comprare un biglietto per il treno.","I need to buy a ticket for the train."
il biglietto,false,biglietto,the ticket,"travel,events",masculine,singular,definite,il,il,n/a,,"Il biglietto è valido per due ore.","The ticket is valid for two hours."
biglietti,false,biglietto,tickets,"travel,events",masculine,plural,none,n/a,n/a,n/a,plural form,"I biglietti sono esauriti.","The tickets are sold out."
i biglietti,false,biglietto,the tickets,"travel,events",masculine,plural,definite,i,i,n/a,,"I biglietti sono sul tavolo.","The tickets are on the table."
dei biglietti,false,biglietto,some tickets,"travel,events",masculine,plural,articulated_preposition,dei,dei,di,,"Ci servono dei biglietti extra.","We need some extra tickets."
del biglietto,false,biglietto,of the ticket,"travel,events",masculine,singular,articulated_preposition,del,del,di,,"Il codice del biglietto è sul retro.","The ticket code is on the back.")
al biglietto,false,biglietto,to the ticket,"travel,events",masculine,singular,articulated_preposition,al,al,a,,"Applica il timbro al biglietto.","Stamp the ticket.")
ai biglietti,false,biglietto,to the tickets,"travel,events",masculine,plural,articulated_preposition,ai,ai,a,,"Aggiungi informazioni ai biglietti.","Add information to the tickets.")
dal biglietto,false,biglietto,from the ticket,"travel,events",masculine,singular,articulated_preposition,dal,dal,da,,"Leggo la data dal biglietto.","I read the date from the ticket.")
dai biglietti,false,biglietto,from the tickets,"travel,events",masculine,plural,articulated_preposition,dai,dai,da,,"Estraggo informazioni dai biglietti.","I extract information from the tickets.")
nel biglietto,false,biglietto,in the ticket,"travel,events",masculine,singular,articulated_preposition,nel,nel,in,,"C'è un codice nel biglietto.","There is a code in the ticket.")
nei biglietti,false,biglietto,in the tickets,"travel,events",masculine,plural,articulated_preposition,nei,nei,in,,"Trovo errori nei biglietti.","I find errors in the tickets.")
sul biglietto,false,biglietto,on the ticket,"travel,events",masculine,singular,articulated_preposition,sul,sul,su,,"Ho scritto il nome sul biglietto.","I wrote the name on the ticket.")
sui biglietti,false,biglietto,on the tickets,"travel,events",masculine,plural,articulated_preposition,sui,sui,su,,"Controllo le informazioni sui biglietti.","I check the information on the tickets.")
col biglietto,false,biglietto,with the ticket,"travel,events",masculine,singular,articulated_preposition,col,col,con,common contraction,"Entro col biglietto valido.","I enter with a valid ticket.")
coi biglietti,false,biglietto,with the tickets,"travel,events",masculine,plural,articulated_preposition,coi,coi,con,common contraction,"Viaggiamo coi biglietti elettronici.","We travel with electronic tickets.")
macchina,true,macchina,car,"transport,vehicles",feminine,singular,none,n/a,n/a,n/a,base lemma,"La macchina è parcheggiata.","The car is parked."
una macchina,false,macchina,a car,"transport,vehicles",feminine,singular,indefinite,una,una,n/a,,"Ho noleggiato una macchina.","I rented a car."
la macchina,false,macchina,the car,"transport,vehicles",feminine,singular,definite,la,la,n/a,,"La macchina è nuova.","The car is new."
macchine,false,macchina,cars,"transport,vehicles",feminine,plural,none,n/a,n/a,n/a,plural form,"Le macchine in città sono molte.","There are many cars in the city.")
le macchine,false,macchina,the cars,"transport,vehicles",feminine,plural,definite,le,le,n/a,,"Le macchine elettriche sono in aumento.","Electric cars are increasing.")
delle macchine,false,macchina,some cars,"transport,vehicles",feminine,plural,articulated_preposition,delle,delle,di,,"Abbiamo testato delle macchine ibride.","We tested some hybrid cars.")
della macchina,false,macchina,of the car,"transport,vehicles",feminine,singular,articulated_preposition,della,della,di,,"La batteria della macchina è scarica.","The car's battery is dead.")
alla macchina,false,macchina,to the car,"transport,vehicles",feminine,singular,articulated_preposition,alla,alla,a,,"Attacca il caricatore alla macchina.","Plug the charger into the car.")
alle macchine,false,macchina,to the cars,"transport,vehicles",feminine,plural,articulated_preposition,alle,alle,a,,"Installiamo sistemi alle macchine nuove.","We install systems on the new cars.")
dalla macchina,false,macchina,from the car,"transport,vehicles",feminine,singular,articulated_preposition,dalla,dalla,da,,"Scendo dalla macchina.","I get out of the car.")
dalle macchine,false,macchina,from the cars,"transport,vehicles",feminine,plural,articulated_preposition,dalle,dalle,da,,"Le informazioni derivano dalle macchine testate.","The information comes from the tested cars.")
nella macchina,false,macchina,in the car,"transport,vehicles",feminine,singular,articulated_preposition,nella,nella,in,,"Lascia le chiavi nella macchina.","Leave the keys in the car.")
nelle macchine,false,macchina,in the cars,"transport,vehicles",feminine,plural,articulated_preposition,nelle,nelle,in,,"Trovi oggetti nelle macchine usate.","You find items in used cars.")
sulla macchina,false,macchina,on the car,"transport,vehicles",feminine,singular,articulated_preposition,sulla,sulla,su,,"Metti il bagaglio sulla macchina.","Put the luggage on the car.")
sulle macchine,false,macchina,on the cars,"transport,vehicles",feminine,plural,articulated_preposition,sulle,sulle,su,,"Ci sono adesivi sulle macchine d'epoca.","There are stickers on vintage cars.")
con la macchina,false,macchina,with the car,"transport,vehicles",feminine,singular,articulated_preposition,con la,con la,con,not contracted,,"Viaggiamo con la macchina nuova.","We travel with the new car.")
con le macchine,false,macchina,with the cars,"transport,vehicles",feminine,plural,articulated_preposition,con le,con le,con,not contracted,,"Collaboriamo con le macchine della flotta.","We collaborate with the fleet's cars.")
autobus,true,autobus,bus,"transport,public",masculine,singular,none,n/a,n/a,n/a,base lemma,"Prendo l'autobus ogni mattina.","I take the bus every morning."
un autobus,false,autobus,a bus,"transport,public",masculine,singular,indefinite,un,un,n/a,,"Salgo su un autobus affollato.","I get on a crowded bus."
l'autobus,false,autobus,the bus,"transport,public",masculine,singular,definite,l',l',n/a,elision,"L'autobus è in ritardo.","The bus is late."
autobus,false,autobus,buses (invariable plural common),"transport,public",masculine,plural,none,n/a,n/a,n/a,invariable plural common,"Gli autobus passano ogni 10 minuti.","Buses pass every 10 minutes."
gli autobus,false,autobus,the buses,"transport,public",masculine,plural,definite,gli,gli,n/a,,"Gli autobus sono affollati oggi.","The buses are crowded today."
degli autobus,false,autobus,some buses,"transport,public",masculine,plural,articulated_preposition,degli,degli,di,,"Abbiamo visto degli autobus nuovi.","We saw some new buses.")
dell'autobus,false,autobus,of the bus,"transport,public",masculine,singular,articulated_preposition,dell',dell',di,,"Il biglietto dell'autobus scade oggi.","The bus ticket expires today.")
all'autobus,false,autobus,to the bus,"transport,public",masculine,singular,articulated_preposition,all',all',a,,"Sono arrivato all'autobus in tempo.","I arrived at the bus in time.")
agli autobus,false,autobus,to the buses,"transport,public",masculine,plural,articulated_preposition,agli,agli,a,,"Consegno pacchi agli autobus per il servizio.","I deliver parcels to the buses for the service.")
dal autobus,false,autobus,from the bus,"transport,public",masculine,singular,articulated_preposition,dall',dall',da,,"Scendo dall'autobus qui.","I get off the bus here.")
dai autobus,false,autobus,from the buses,"transport,public",masculine,plural,articulated_preposition,dagli,dagli,da,,"Hanno ricevuto segnalazioni dai autobus (forma comune: dagli autobus).",note,"(rare/colloquial) Use 'dagli autobus' or 'dai bus' in speech."
nell'autobus,false,autobus,in the bus,"transport,public",masculine,singular,articulated_preposition,nell',nell',in,,"C'è molto rumore nell'autobus.","There is a lot of noise in the bus.")
negli autobus,false,autobus,in the buses,"transport,public",masculine,plural,articulated_preposition,negli,negli,in,,"Ci sono poster negli autobus.","There are posters in the buses.")
sull'autobus,false,autobus,on the bus,"transport,public",masculine,singular,articulated_preposition,sull',sull',su,,"C'è una donna sull'autobus.","There is a woman on the bus.")
sugli autobus,false,autobus,on the buses,"transport,public",masculine,plural,articulated_preposition,sugli,sugli,su,,"Leggo avvisi sugli autobus.","I read notices on the buses.")
con l'autobus,false,autobus,with the bus,"transport,public",masculine,singular,articulated_preposition,con l',con l',con,not contracted,"Prendo decisioni con l'autobus in mente.","I make decisions with the bus in mind.")
con gli autobus,false,autobus,with the buses,"transport,public",masculine,plural,articulated_preposition,con gli,con gli,con,not contracted,,"Collaboriamo con gli autobus per il trasporto scolastico.","We collaborate with the buses for school transport.")
treno,true,treno,train,"transport,public",masculine,singular,none,n/a,n/a,n/a,base lemma,"Il treno parte alle otto.","The train leaves at eight."
un treno,false,treno,a train,"transport,public",masculine,singular,indefinite,un,un,n/a,,"Prendo un treno regionale.","I take a regional train."
il treno,false,treno,the train,"transport,public",masculine,singular,definite,il,il,n/a,,"Il treno è puntuale.","The train is on time."
treni,false,treno,trains,"transport,public",masculine,plural,none,n/a,n/a,n/a,plural form,"I treni sono moderni.","The trains are modern."
i treni,false,treno,the trains,"transport,public",masculine,plural,definite,i,i,n/a,,"I treni collegano le città.","Trains connect the cities.")
dei treni,false,treno,some trains,"transport,public",masculine,plural,articulated_preposition,dei,dei,di,,"Ho controllato degli orari dei treni.","I checked some train timetables.")
del treno,false,treno,of the train,"transport,public",masculine,singular,articulated_preposition,del,del,di,,"Il rumore del treno è forte.","The noise of the train is loud.")
al treno,false,treno,to the train,"transport,public",masculine,singular,articulated_preposition,al,al,a,,"Corro al treno.","I run to the train.")
ai treni,false,treno,to the trains,"transport,public",masculine,plural,articulated_preposition,ai,ai,a,,"Parlo ai treni notturni.","I talk to the night trains (figurative).")
dal treno,false,treno,from the train,"transport,public",masculine,singular,articulated_preposition,dal,dal,da,,"Scendo dal treno a Firenze.","I get off the train in Florence.")
dai treni,false,treno,from the trains,"transport,public",masculine,plural,articulated_preposition,dai,dai,da,,"Ho ricevuto avvisi dai treni in ritardo.","I received notices from delayed trains.")
nel treno,false,treno,in the train,"transport,public",masculine,singular,articulated_preposition,nel,nel,in,,"C'è silenzio nel treno.","There is silence in the train.")
nei treni,false,treno,in the trains,"transport,public",masculine,plural,articulated_preposition,nei,nei,in,,"Ci sono servizi nei treni moderni.","There are services in modern trains.")
sul treno,false,treno,on the train,"transport,public",masculine,singular,articulated_preposition,sul,sul,su,,"Ho messo il bagaglio sul treno.","I put the luggage on the train.")
sui treni,false,treno,on the trains,"transport,public",masculine,plural,articulated_preposition,sui,sui,su,,"Trovo informazioni sui treni online.","I find information about trains online.")
col treno,false,treno,with/by train,"transport,public",masculine,singular,articulated_preposition,col,col,con,common contraction meaning 'by',,"Viaggio col treno regionale.","I travel by regional train.")
coi treni,false,treno,with the trains,"transport,public",masculine,plural,articulated_preposition,coi,coi,con,common contraction,"Collaboriamo coi treni per i trasporti.","We collaborate with the trains for transportation.")
aeroporto,true,aeroporto,airport,"travel,transport",masculine,singular,none,n/a,n/a,n/a,base lemma,"Parto dall'aeroporto domani.","I leave from the airport tomorrow."
un aeroporto,false,aeroporto,an airport,"travel,transport",masculine,singular,indefinite,un,un,n/a,,"C'è un aeroporto vicino.","There is an airport nearby.")
l'aeroporto,false,aeroporto,the airport,"travel,transport",masculine,singular,definite,l',l',n/a,elision,"L'aeroporto è grande.","The airport is big.")
aeroporti,false,aeroporto,airports,"travel,transport",masculine,plural,none,n/a,n/a,n/a,plural form,"Gli aeroporti europei sono affollati.","European airports are crowded.")
gli aeroporti,false,aeroporto,the airports,"travel,transport",masculine,plural,definite,gli,gli,n/a,,"Gli aeroporti servono molte rotte.","The airports serve many routes.")
degli aeroporti,false,aeroporto,some airports,"travel,transport",masculine,plural,articulated_preposition,degli,degli,di,,"Ho visitato degli aeroporti internazionali.","I visited some international airports.")
dell'aeroporto,false,aeroporto,of the airport,"travel,transport",masculine,singular,articulated_preposition,dell',dell',di,,"Il parcheggio dell'aeroporto è pieno.","The airport parking is full.")
all'aeroporto,false,aeroporto,to the airport,"travel,transport",masculine,singular,articulated_preposition,all',all',a,,"Devo andare all'aeroporto presto.","I must go to the airport early.")
agli aeroporti,false,aeroporto,to the airports,"travel,transport",masculine,plural,articulated_preposition,agli,agli,a,,"Consegno merci agli aeroporti.","I deliver goods to the airports.")
dal aeroporto,false,aeroporto,from the airport,"travel,transport",masculine,singular,articulated_preposition,dall',dall',da,,"Arrivo dal aeroporto questa sera.","I arrive from the airport this evening.")
dai aeroporti,false,aeroporto,from the airports,"travel,transport",masculine,plural,articulated_preposition,dagli,dagli,da,,"Partono voli dai aeroporti principali.","Flights depart from the main airports.")
nell'aeroporto,false,aeroporto,in the airport,"travel,transport",masculine,singular,articulated_preposition,nell',nell',in,,"Ho perso qualcosa nell'aeroporto.","I lost something in the airport.")
negli aeroporti,false,aeroporto,in the airports,"travel,transport",masculine,plural,articulated_preposition,negli,negli,in,,"Ci sono controlli negli aeroporti.","There are checks in the airports.")
sull'aeroporto,false,aeroporto,on the airport (rare/figurative),"travel,transport",masculine,singular,articulated_preposition,sull',sull',su,,"C'è un progetto sull'aeroporto locale.","There is a project about the local airport.")
sugli aeroporti,false,aeroporto,on the airports,"travel,transport",masculine,plural,articulated_preposition,sugli,sugli,su,,"Ho letto rapporti sugli aeroporti.","I read reports on the airports.")
con l'aeroporto,false,aeroporto,with the airport,"travel,transport",masculine,singular,articulated_preposition,con l',con l',con,not contracted,,"Collaboriamo con l'aeroporto per i voli charter.","We work with the airport for charter flights.")
con gli aeroporti,false,aeroporto,with the airports,"travel,transport",masculine,plural,articulated_preposition,con gli,con gli,con,not contracted,,"Siamo in contatto con gli aeroporti internazionali.","We are in contact with international airports.")
albergo,true,albergo,hotel,"places,accommodation",masculine,singular,none,n/a,n/a,n/a,base lemma,"Ho prenotato un albergo.","I booked a hotel."
un albergo,false,albergo,a hotel,"places,accommodation",masculine,singular,indefinite,un,un,n/a,,"Cerco un albergo economico.","I look for an inexpensive hotel.")
l'albergo,false,albergo,the hotel,"places,accommodation",masculine,singular,definite,l',l',n/a,elision,"L'albergo è vicino al centro.","The hotel is near the center.")
alberghi,false,albergo,hotels,"places,accommodation",masculine,plural,none,n/a,n/a,n/a,plural form (alberghi common), "Gli alberghi offrono servizi diversi.","Hotels offer different services.")
gli alberghi,false,albergo,the hotels,"places,accommodation",masculine,plural,definite,gli,gli,n/a,,"Gli alberghi della costa sono pieni.","The hotels on the coast are full.")
degli alberghi,false,albergo,some hotels,"places,accommodation",masculine,plural,articulated_preposition,degli,degli,di,,"Ho visitato degli alberghi in città.","I visited some hotels in the city.")
dell'albergo,false,albergo,of the hotel,"places,accommodation",masculine,singular,articulated_preposition,dell',dell',di,,"La reception dell'albergo è aperta 24h.","The hotel's reception is open 24h.")
all'albergo,false,albergo,to the hotel,"places,accommodation",masculine,singular,articulated_preposition,all',all',a,,"Arrivo all'albergo domani.","I arrive at the hotel tomorrow.")
agli alberghi,false,albergo,to the hotels,"places,accommodation",masculine,plural,articulated_preposition,agli,agli,a,,"Consegno brochure agli alberghi locali.","I deliver brochures to the local hotels.")
dal albergo,false,albergo,from the hotel (use dall'),"places,accommodation",masculine,singular,articulated_preposition,dall',dall',da,,"Parto dall'albergo alle sei.","I leave the hotel at six.")
dai alberghi,false,albergo,from the hotels (use dagli), "places,accommodation",masculine,plural,articulated_preposition,dagli,dagli,da,,"Riceviamo feedback dai alberghi della zona.","We receive feedback from the area's hotels.")
nell'albergo,false,albergo,in the hotel,"places,accommodation",masculine,singular,articulated_preposition,nell',nell',in,,"C'è una piscina nell'albergo.","There is a pool in the hotel.")
negli alberghi,false,albergo,in the hotels,"places,accommodation",masculine,plural,articulated_preposition,negli,negli,in,,"Organizzo eventi negli alberghi.","I organize events in the hotels.")
sull'albergo,false,albergo,on the hotel,"places,accommodation",masculine,singular,articulated_preposition,sull',sull',su,,"C'è un'insegna sull'albergo.","There is a sign on the hotel.")
sugli alberghi,false,albergo,on the hotels,"places,accommodation",masculine,plural,articulated_preposition,sugli,sugli,su,,"Ho letto recensioni sugli alberghi.","I read reviews about the hotels.")
con l'albergo,false,albergo,with the hotel,"places,accommodation",masculine,singular,articulated_preposition,con l',con l',con,not contracted,,"Collaboriamo con l'albergo per la conferenza.","We collaborate with the hotel for the conference.")
con gli alberghi,false,albergo,with the hotels,"places,accommodation",masculine,plural,articulated_preposition,con gli,con gli,con,not contracted,,"Firmiamo contratti con gli alberghi della zona.","We sign contracts with the area's hotels.")
strada,true,strada,street, "places,transport",feminine,singular,none,n/a,n/a,n/a,base lemma,"La strada è lunga.","The street is long."
una strada,false,strada,a street,"places,transport",feminine,singular,indefinite,una,una,n/a,,"Cammino lungo una strada trafficata.","I walk along a busy street.")
la strada,false,strada,the street,"places,transport",feminine,singular,definite,la,la,n/a,,"La strada è chiusa.","The street is closed.")
strade,false,strada,streets,"places,transport",feminine,plural,none,n/a,n/a,n/a,plural form,"Le strade sono sporche dopo la pioggia.","The streets are dirty after the rain.")
le strade,false,strada,the streets,"places,transport",feminine,plural,definite,le,le,n/a,,"Le strade del centro sono pedonali.","The city center streets are pedestrian.")
delle strade,false,strada,some streets,"places,transport",feminine,plural,articulated_preposition,delle,delle,di,,"Ho esplorato delle strade secondarie.","I explored some side streets.")
della strada,false,strada,of the street,"places,transport",feminine,singular,articulated_preposition,della,della,di,,"La segnaletica della strada è chiara.","The street signs are clear.")
alla strada,false,strada,to the street (use 'in' often),"places,transport",feminine,singular,articulated_preposition,alla,alla,a,,"Vai alla strada principale.","Go to the main street.")
alle strade,false,strada,to the streets,"places,transport",feminine,plural,articulated_preposition,alle,alle,a,,"Portiamo i materiali alle strade laterali.","We bring materials to the side streets.")
dalla strada,false,strada,from the street,"places,transport",feminine,singular,articulated_preposition,dalla,dalla,da,,"Guardavo dalla strada.","I was watching from the street.")
dalle strade,false,strada,from the streets,"places,transport",feminine,plural,articulated_preposition,dalle,dalle,da,,"I rumori dalle strade disturbarono il riposo.","The noises from the streets disturbed the rest.")
nella strada,false,strada,in the street,"places,transport",feminine,singular,articulated_preposition,nella,nella,in,,"C'è una fontana nella strada.","There is a fountain in the street.")
nelle strade,false,strada,in the streets,"places,transport",feminine,plural,articulated_preposition,nelle,nelle,in,,"Si trovano negozi nelle strade laterali.","You find shops in the side streets.")
sulla strada,false,strada,on the street,"places,transport",feminine,singular,articulated_preposition,sulla,sulla,su,,"Ho lasciato la bici sulla strada.","I left the bike on the street.")
sulle strade,false,strada,on the streets,"places,transport",feminine,plural,articulated_preposition,sulle,sulle,su,,"Ci sono cantieri sulle strade.","There are construction sites on the streets.")
con la strada,false,strada,with the street (figurative),"places,transport",feminine,singular,articulated_preposition,con la,con la,con,not contracted,,"Pianifichiamo con la strada locale per la deviazione.","We plan with the local road for the detour.")
con le strade,false,strada,with the streets,"places,transport",feminine,plural,articulated_preposition,con le,con le,con,not contracted,,"Collaboriamo con le strade cittadine per gli eventi.","We collaborate with the city streets for events.")
negozio,true,negozio,shop/store,"commerce,places",masculine,singular,none,n/a,n/a,n/a,base lemma,"Vado al negozio per comprare pane.","I go to the shop to buy bread.")
un negozio,false,negozio,a shop,"commerce,places",masculine,singular,indefinite,un,un,n/a,,"Apro un negozio online.","I open an online shop.")
il negozio,false,negozio,the shop,"commerce,places",masculine,singular,definite,il,il,n/a,,"Il negozio chiude alle otto.","The shop closes at eight.")
negozi,false,negozio,shops,"commerce,places",masculine,plural,none,n/a,n/a,n/a,plural form,"I negozi sono affollati.","The shops are crowded.")
i negozi,false,negozio,the shops,"commerce,places",masculine,plural,definite,i,i,n/a,,"I negozi offrono sconti.","The shops offer discounts.")
dei negozi,false,negozio,some shops,"commerce,places",masculine,plural,articulated_preposition,dei,dei,di,,"Ho visitato dei negozi nuovi.","I visited some new shops.")
del negozio,false,negozio,of the shop,"commerce,places",masculine,singular,articulated_preposition,del,del,di,,"Il proprietario del negozio è gentile.","The shop owner is kind.")
al negozio,false,negozio,to the shop,"commerce,places",masculine,singular,articulated_preposition,al,al,a,,"Vado al negozio a comprare frutta.","I go to the shop to buy fruit.")
ai negozi,false,negozio,to the shops,"commerce,places",masculine,plural,articulated_preposition,ai,ai,a,,"Consegno volantini ai negozi locali.","I deliver flyers to the local shops.")
dal negozio,false,negozio,from the shop,"commerce,places",masculine,singular,articulated_preposition,dal,dal,da,,"Torno dal negozio con le borse.","I return from the shop with the bags.")
dai negozi,false,negozio,from the shops,"commerce,places",masculine,plural,articulated_preposition,dai,dai,da,,"Ho comprato prodotti dai negozi artigianali.","I bought products from the artisan shops.")
nel negozio,false,negozio,in the shop,"commerce,places",masculine,singular,articulated_preposition,nel,nel,in,,"C'è una promozione nel negozio.","There is a promotion in the shop.")
nei negozi,false,negozio,in the shops,"commerce,places",masculine,plural,articulated_preposition,nei,nei,in,,"Trovi regali nei negozi del centro.","You find gifts in the downtown shops.")
sul negozio,false,negozio,on the shop,"commerce,places",masculine,singular,articulated_preposition,sul,sul,su,,"C'è un'insegna sul negozio.","There is a sign on the shop.")
sui negozi,false,negozio,on the shops,"commerce,places",masculine,plural,articulated_preposition,sui,sui,su,,"Ho letto recensioni sui negozi online.","I read reviews about the online shops.")
col negozio,false,negozio,with the shop (figurative),"commerce,places",masculine,singular,articulated_preposition,col,col,con,common contraction,"Collaboriamo col negozio per la vendita.","We collaborate with the shop for the sale.")
coi negozi,false,negozio,with the shops,"commerce,places",masculine,plural,articulated_preposition,coi,coi,con,common contraction,"Distribuiamo volantini coi negozi del quartiere.","We distribute flyers with the neighborhood shops.")