term_italian,is_base,base_word_italian,translation_english,gender,plurality,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
aeroporto,true,aeroporto,airport,masculine,singular,none,n/a,n/a,n/a,base lemma,"Vedo un aeroporto grande.","I see a large airport."
un aeroporto,false,aeroporto,an airport,masculine,singular,indefinite,un,un,n/a,,"Ho bisogno di un aeroporto vicino.","I need an airport nearby."
l'aeroporto,false,aeroporto,the airport,masculine,singular,definite,l',l',n/a,,"L'aeroporto è chiuso oggi.","The airport is closed today."
aeroporti,false,aeroporto,airports,masculine,plural,none,n/a,n/a,n/a,plural form,"Aeroporti moderni offrono molti servizi.","Modern airports offer many services."
gli aeroporti,false,aeroporto,the airports,masculine,plural,definite,gli,gli,n/a,,"Gli aeroporti sono molto trafficati in estate.","The airports are very busy in summer."
degli aeroporti,false,aeroporto,some airports,masculine,plural,articulated_preposition,gli,degli,di,,"Il rumore degli aeroporti è fastidioso.","The noise of the airports is annoying."
all'aeroporto,false,aeroporto,to the airport,masculine,singular,articulated_preposition,l',all',a,,"Vado all'aeroporto domani.","I'm going to the airport tomorrow."
agli aeroporti,false,aeroporto,to the airports,masculine,plural,articulated_preposition,gli,agli,a,,"Consegnano i bagagli agli aeroporti vicini.","They deliver the luggage to the nearby airports."
dall'aeroporto,false,aeroporto,from the airport,masculine,singular,articulated_preposition,l',dall',da,,"Sono appena tornato dall'aeroporto.","I just returned from the airport."
dagli aeroporti,false,aeroporto,from the airports,masculine,plural,articulated_preposition,gli,dagli,da,,"I voli dagli aeroporti internazionali partono tardi.","Flights from the international airports depart late."
nell'aeroporto,false,aeroporto,in the airport,masculine,singular,articulated_preposition,l',nell',in,,"C'è un negozio nell'aeroporto.","There is a shop in the airport."
negli aeroporti,false,aeroporto,in the airports,masculine,plural,articulated_preposition,gli,negli,in,,"Negli aeroporti controllano i bagagli.","At the airports they check luggage."
sull'aeroporto,false,aeroporto,on the airport,masculine,singular,articulated_preposition,l',sull',su,,"C'è una torre sull'aeroporto.","There is a tower on the airport."
sugli aeroporti,false,aeroporto,on the airports,masculine,plural,articulated_preposition,gli,sugli,su,,"Sugli aeroporti sono esposte le regole di sicurezza.","On the airports the safety rules are displayed."
con l'aeroporto,false,aeroporto,with the airport,masculine,singular,articulated_preposition,l',con l',con,,"Ho un accordo con l'aeroporto.","I have an agreement with the airport."
con gli aeroporti,false,aeroporto,with the airports,masculine,plural,articulated_preposition,gli,con gli,con,,"La società collabora con gli aeroporti regionali.","The company collaborates with the regional airports."
col aeroporto,false,aeroporto,with the airport (contraction),masculine,singular,articulated_preposition,il,col,con,"'Col' is con + il; not used before l' (vowel) — prefer 'con l''.","Prendo accordi col aeroporto per un evento speciale.","I make arrangements with the airport for a special event."
coi aeroporti,false,aeroporto,with the airports (contraction),masculine,plural,articulated_preposition,i,coi,con,"'Coi' is con + i; not used before gli/l' — prefer 'con gli' or 'con l'' where appropriate.","Abbiamo firmato un contratto coi aeroporti nazionali.","We signed a contract with the national airports."